"estado_id","ciudad_id","ciudad"
"09","01","Ciudad de México"
"09","02","Ciudad de México"
"09","03","Ciudad de México"
"09","04","Ciudad de México"
"09","05","Ciudad de México"
"09","06","Ciudad de México"
"09","07","Ciudad de México"
"09","08","Ciudad de México"
"09","09","Ciudad de México"
"09","10","Ciudad de México"
"09","11","Ciudad de México"
"09","12","Ciudad de México"
"09","13","Ciudad de México"
"09","14","Ciudad de México"
"09","15","Ciudad de México"
"09","16","Ciudad de México"
"01","01","Aguascalientes"
"01","03","San Francisco de los Romo"
"01","06","Rincón de Romos"
"01","09","Cosío"
"01","08","Tepezalá"
"01","05","Pabellón de Arteaga"
"01","07","Asientos"
"01","02","Calvillo"
"01","04","Jesús María "
"02","02","Mexicali"
"02","03","Tecate"
"02","07","San Felipe"
"02","04","Tijuana"
"02","05","Playas de Rosarito"
"02","06","Rodolfo Sánchez Taboada (Maneadero)"
"02","01","Ensenada"
"03","02","La Paz"
"03","07","Todos Santos"
"03","04","San José del Cabo"
"03","03","Cabo San Lucas"
"03","01","Ciudad Constitución"
"03","06","Puerto Adolfo López Mateos"
"03","05","Loreto"
"03","08","Heroica Mulegé"
"03","12","Santa Rosalía"
"03","10","San Ignacio"
"03","09","Villa Alberto Andrés Alvarado Arámburo"
"03","11","Guerrero Negro"
"04","01","San Francisco de Campeche"
"04","02","Ciudad del Carmen"
"04","06","Sabancuy"
"04","04","Candelaria"
"04","05","Escárcega"
"04","08","Champotón"
"04","07","Hopelchén"
"04","09","Hecelchakán"
"04","11","Pomuch"
"04","03","Calkini"
"05","08","Saltillo"
"05","23","Arteaga"
"05","19","San Buenaventura"
"05","02","Frontera"
"05","04","Monclova"
"05","12","Castaños"
"05","16","Ramos Arizpe"
"05","06","Piedras Negras"
"05","17","Nava"
"05","01","Ciudad Acuña"
"05","20","Ciudad Melchor Múzquiz"
"05","18","Zaragoza"
"05","22","Morelos"
"05","24","Allende"
"05","07","Sabinas"
"05","09","Nueva Rosita"
"05","11","Torreón"
"05","03","Matamoros"
"05","21","Viesca"
"05","15","Nadadores"
"05","14","Cuatro Ciénegas de Carranza"
"05","10","San Pedro"
"05","13","Francisco I. Madero (Chávez)"
"05","05","Parras de la Fuente"
"06","01","Colima"
"06","03","Tecomán"
"06","02","Manzanillo"
"06","05","Ciudad de Armería"
"06","04","Ciudad de Villa de Álvarez"
"07","04","Tuxtla Gutiérrez"
"07","17","Ocozocoautla de Espinosa"
"07","15","Chiapa de Corzo"
"07","02","San Cristóbal de las Casas"
"07","25","Acala"
"07","22","Reforma"
"07","19","Pichucalco"
"07","11","Ocosingo"
"07","10","Palenque"
"07","01","Comitán de Domínguez"
"07","08","Las Margaritas"
"07","05","Venustiano Carranza"
"07","14","Las Rosas"
"07","18","Cintalapa de Figueroa"
"07","06","Jiquipilas"
"07","09","Arriaga"
"07","07","Villaflores"
"07","12","Tonalá"
"07","21","Pijijiapan"
"07","13","Mapastepec"
"07","23","Huixtla"
"07","03","Tapachula de Córdova y Ordóñez"
"07","20","Puerto Madero (San Benito)"
"07","16","Cacahoatán"
"07","24","Motozintla de Mendoza"
"08","02","Chihuahua"
"08","03","Cuauhtémoc"
"08","10","Colonia Anáhuac"
"08","14","Bachíniva"
"08","07","Nuevo Casas Grandes"
"08","09","Madera"
"08","06","Juárez"
"08","13","Manuel Ojinaga"
"08","11","Juan Aldama"
"08","04","Delicias"
"08","15","Saucillo"
"08","01","Santa Rosalía de Camargo"
"08","05","Hidalgo del Parral"
"08","12","José Mariano Jiménez"
"10","01","Victoria de Durango"
"10","05","Canatlán"
"10","06","San Juan del Río del Centauro del Norte"
"10","04","Santiago Papasquiaro"
"10","07","Peñón Blanco"
"10","08","Francisco I. Madero"
"10","09","Nombre de Dios"
"10","10","Vicente Guerrero"
"10","11","El Salto"
"10","02","Gómez Palacio"
"10","03","Ciudad Lerdo"
"10","12","Santa María del Oro"
"11","05","Guanajuato"
"11","11","Silao"
"11","14","Romita"
"11","31","Marfil"
"11","10","San Francisco del Rincón"
"11","29","Purísima de Bustos"
"11","34","Ciudad Manuel Doblado"
"11","06","Irapuato"
"11","09","Salamanca"
"11","19","Pénjamo"
"11","20","Cuerámaro"
"11","24","Abasolo"
"11","16","Huanímaro"
"11","07","León de los Aldama"
"11","02","San Miguel de Allende"
"11","39","Dolores Hidalgo Cuna de la Independencia Nacional"
"11","36","San Diego de la Unión"
"11","22","San Luis de la Paz"
"11","38","Doctor Mora"
"11","32","San José Iturbide"
"11","03","Celaya"
"11","25","Rincón de Tamayo"
