estado_id,estado,latitud,longitud
09,Ciudad de México,19.419444,-99.145556
01,Aguascalientes,21.880833,-102.296111
02,Baja California,29.95,-115.116667
03,Baja California Sur,25.846111,-111.972778
04,Campeche,18.836389,-90.403333
05,Coahuila de Zaragoza,27.302222,-102.044722
06,Colima,19.096667,-103.960833
07,Chiapas,16.41,-92.408611
08,Chihuahua,28.814167,-106.439444
10,Durango,24.934722,-104.911944
11,Guanajuato,21.018889,-101.262778
12,Guerrero,17.613056,-99.95
13,Hidalgo,20.478333,-98.863611
14,Jalisco,20.566667,-103.676389
15,México,19.354167,-99.630833
16,Michoacán de Ocampo,19.168611,-101.899722
17,Morelos,18.7475,-99.070278
18,Nayarit,21.743889,-105.228333
19,Nuevo León,25.566667,-99.970556
20,Oaxaca,16.898056,-96.414167
21,Puebla,19.003611,-97.888333
22,Querétaro,20.591,-100.391
23,Quintana Roo,19.6,-87.916667
24,San Luis Potosí,22.603333,-100.429722
25,Sinaloa,25.002778,-107.50277
26,Sonora,29.646111,-110.868889
27,Tabasco,17.972222,-92.588889
28,Tamaulipas,24.287222,-98.563333
29,Tlaxcala,19.428889,-98.160833
30,Veracruz de Ignacio de la Llave,19.434722,-96.383056
31,Yucatán,20.833333,-89
32,Zacatecas,23.292778,-102.700556
